category_name,name,description,price,stock
Main Dish,Chicken Rice,Grilled chicken with steamed rice,5.50,25
Main Dish,Beef Stew,Slow-cooked beef with vegetables,6.00,15
Main Dish,Veggie Pasta,Penne in marinara sauce,4.50,30
Beverage,Orange Juice,Freshly squeezed orange juice,2.50,50
Beverage,Green Tea,Hot Japanese green tea,2.00,40
Beverage,Coffee,Americano coffee,3.00,35
Dessert,Chocolate Cake,Rich chocolate layer cake,3.50,20
Dessert,Fruit Salad,Seasonal fresh fruit mix,2.75,25
Snack,French Fries,Crispy golden fries,2.50,40
Snack,Sandwich,Ham and cheese sandwich,3.00,30
